"block","item","item_name_de","item_name_en","group","valid_n","coded_missing_n","structural_na_n","median","mean","sd","q1","q3","iqr","low_count"
"GE03","GE03_01","Anschlussgeometrien Likert: Medienanschlüsse Anschlüsse für Medientransport (z. B. Gas/Flüssigkeit) zu Rohren, Kanälen, Ventilen, Armaturen usw.","Media connections (e.g. water pipes or air ducts)","Architecture",8,0,2,3.5,3.625,1.06066017177982,3,4.25,1.25,FALSE
"GE03","GE03_01","Anschlussgeometrien Likert: Medienanschlüsse Anschlüsse für Medientransport (z. B. Gas/Flüssigkeit) zu Rohren, Kanälen, Ventilen, Armaturen usw.","Media connections (e.g. water pipes or air ducts)","MEP",15,0,9,5,5.13333333333333,1.06009882737862,5,6,1,FALSE
"GE03","GE03_02","Anschlussgeometrien Likert: Befestigungsanschlüsse Mittel zur Befestigung des Produkts an Zubehör, Wänden, Decken, Böden usw.","Mounting connections (to walls/ceilings/floors)","Architecture",8,0,2,4,4.125,1.24642345475822,3,4.5,1.5,FALSE
"GE03","GE03_02","Anschlussgeometrien Likert: Befestigungsanschlüsse Mittel zur Befestigung des Produkts an Zubehör, Wänden, Decken, Böden usw.","Mounting connections (to walls/ceilings/floors)","MEP",14,1,9,3,3.78571428571429,1.25137287246211,3,4.75,1.75,FALSE
"GE03","GE03_03","Anschlussgeometrien Likert: Anschlüsse für Regel- und Steuersignale","Data connections (ports for control signals)","Architecture",8,0,2,3,2.625,0.744023809142845,2.75,3,0.25,FALSE
"GE03","GE03_03","Anschlussgeometrien Likert: Anschlüsse für Regel- und Steuersignale","Data connections (ports for control signals)","MEP",14,1,9,4,4.14285714285714,1.61040572322834,3,5.75,2.75,FALSE
"GE04","GE04_01","Produkträume Likert: Bedienungsraum Mindestens erforderlicher Raum für Betrieb und vorschriftsmäßige Funktion, inklusive Bereichen zum Öffnen von Türen, Klappen oder Abdeckungen.","Operating space (doors and covers)","Architecture",8,0,2,6,5.5,1.0690449676497,5.75,6,0.25,FALSE
"GE04","GE04_01","Produkträume Likert: Bedienungsraum Mindestens erforderlicher Raum für Betrieb und vorschriftsmäßige Funktion, inklusive Bereichen zum Öffnen von Türen, Klappen oder Abdeckungen.","Operating space (doors and covers)","MEP",14,1,9,5,5.14285714285714,0.864437821507566,4.25,6,1.75,FALSE
"GE04","GE04_02","Produkträume Likert: Zugangsraum Raum, den Bedien‑ oder Wartungspersonal benötigt, um das Produkt zu erreichen und Wartungsarbeiten sicher durchzuführen.","Access space (maintenance personnel)","Architecture",8,0,2,6,5.5,1.0690449676497,5.75,6,0.25,FALSE
"GE04","GE04_02","Produkträume Likert: Zugangsraum Raum, den Bedien‑ oder Wartungspersonal benötigt, um das Produkt zu erreichen und Wartungsarbeiten sicher durchzuführen.","Access space (maintenance personnel)","MEP",14,1,9,5,5.14285714285714,0.949262293098647,5,6,1,FALSE
"GE04","GE04_03","Produkträume Likert: Einbau‑ und Transportraum Raum für den Transport der größten zerlegbaren Baugruppe des Produkts in/aus dem Gebäude oder Installationsraum (z. B. Pfad durch Türen, Treppen, Schächte).","Transport space (path through building)","Architecture",8,0,2,5.5,5,1.30930734141595,4.5,6,1.5,FALSE
"GE04","GE04_03","Produkträume Likert: Einbau‑ und Transportraum Raum für den Transport der größten zerlegbaren Baugruppe des Produkts in/aus dem Gebäude oder Installationsraum (z. B. Pfad durch Türen, Treppen, Schächte).","Transport space (path through building)","MEP",14,1,9,5,4.78571428571429,0.974961255922229,4,5.75,1.75,FALSE
"GE04","GE04_04","Produkträume Likert: Installationsraum Zusätzlicher Raum für Montage, Installation oder Deinstallation vor Ort (z. B. Platz für Werkzeuge, Hebezeuge oder das Lösen von Anschlüssen).","Assembly space (tools and lifting equipment)","Architecture",8,0,2,5,4.75,1.28173988892331,3.75,6,2.25,FALSE
"GE04","GE04_04","Produkträume Likert: Installationsraum Zusätzlicher Raum für Montage, Installation oder Deinstallation vor Ort (z. B. Platz für Werkzeuge, Hebezeuge oder das Lösen von Anschlüssen).","Assembly space (tools and lifting equipment)","MEP",15,0,9,5,4.86666666666667,0.915475416434127,4,5.5,1.5,FALSE
"GE04","GE04_05","Produkträume Likert: Gesamtraum (Störraum) Der gesamte Raum des Produkts für Kollisionsprüfungen im CAD‑/BIM‑Modell, inklusive aller anderen Räume (Bedienung, Zugang, Transport, Installation).​","Total clearance space (BIM collision check)","Architecture",8,0,2,6,5,1.4142135623731,3.75,6,2.25,FALSE
"GE04","GE04_05","Produkträume Likert: Gesamtraum (Störraum) Der gesamte Raum des Produkts für Kollisionsprüfungen im CAD‑/BIM‑Modell, inklusive aller anderen Räume (Bedienung, Zugang, Transport, Installation).​","Total clearance space (BIM collision check)","MEP",14,1,9,5,4.64285714285714,1.21573927222163,4,5.75,1.75,FALSE
